timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-06-14T16:55	baseline	history-timeline-coach	-	86.8	baseline	-	初始评估(已有学段适配)	dry_run
2026-06-14T16:55	baseline	history-evidence-analysis	-	85.3	baseline	-	初始评估(实测9分校准)	full_test
2026-06-14T16:55	baseline	history-causation-explainer	-	85.3	baseline	-	初始评估	dry_run
2026-06-14T16:55	baseline	history-problem-coach	-	85.3	baseline	-	初始评估	dry_run
2026-06-14T16:55	baseline	history-error-dna	-	89.3	baseline	-	初始评估(维度7满分)	dry_run
2026-06-14T16:55	4cccd1f	history-evidence-analysis	85.3	86.8	keep	整体架构(维度7)	补各学段适配段落	dry_run
2026-06-14T16:55	4cccd1f	history-causation-explainer	85.3	86.8	keep	整体架构(维度7)	补各学段适配段落	dry_run
2026-06-14T16:55	4cccd1f	history-problem-coach	85.3	86.8	keep	整体架构(维度7)	补各学段适配段落	dry_run
2026-06-14T17:18	baseline	geography-map-coach	-	87.3	baseline	-	初始评估(有学段适配+超纲边界)	dry_run
2026-06-14T17:18	baseline	geography-region-analyzer	-	87.3	baseline	-	初始评估(有学段适配+超纲)	dry_run
2026-06-14T17:18	baseline	geography-process-explainer	-	88.0	baseline	-	初始评估(超纲处理最佳,维度5/7优)	dry_run
2026-06-14T17:18	baseline	geography-problem-coach	-	87.3	baseline	-	初始评估(有学段适配+自然计算)	dry_run
2026-06-14T17:18	baseline	geography-error-dna	-	89.3	baseline	-	初始评估(维度7满分,八节齐全)	dry_run
2026-06-14T17:36	baseline	politics-framework-coach	-	87.3	baseline	-	初始评估(学期级体系,未误放单题铁律)	dry_run
2026-06-14T17:36	baseline	politics-concept-explainer	-	87.3	baseline	-	初始评估(生活类比+易混辨析)	dry_run
2026-06-14T17:36	baseline	politics-application-coach	-	87.8	baseline	-	初始评估(主入口+先定位理论模块铁律)	dry_run
2026-06-14T17:36	baseline	politics-value-reasoning	-	89.0	baseline	-	初始评估(价值观红线独立成节,处理最佳)	dry_run
2026-06-14T17:36	baseline	politics-error-dna	-	89.3	baseline	-	初始评估(八节齐全,Po5中性)	dry_run
